time,title,highlight,
2026 Aug,Started as a Research Assistant at UB,Working in the CVML Lab under the supervision of Dr. Vishnu Lokhande.,
2026 Aug,Attended the Simons Institute workshop at UC Berkeley,The summer workshop focused on recent advances in diffusion-based generative models.,
2026 Jul,Started as a Graduate Research Fellow at UB,Joined the CVML Lab to work on generative AI and multi-agent systems with Dr. Vishnu Lokhande.,
2026 May,Presented MAGNET at the MRI Seminar,Presented our work on graph diffusion for brain connectome generation at the Center for Biomedical Imaging at UB.,
2026 Apr,Visited NYU for NYC Vision Day 2026,Presented a lightning talk on MAGNET and our work on graph diffusion for brain connectome generation.,
2025 Aug,Started as a Teaching Assistant at UB,Taught CSE 573: Computer Vision and Image Processing with Prof. Junsong Yuan.,
2025 Aug,"Started my PhD in CSE at UB",Joined the Computer Vision and Machine Learning Lab under the supervision of Dr. Vishnu Lokhande.,
2025 Apr,"Joined the CVPR Lab at IIT Ropar as a JRF",Worked with Dr. Santosh Kumar Vipparthi on federated learning for aerial scene classification.,
2024 Jul,"Joined the IPSA Lab at IIT Ropar as a Research Intern",Worked on source camera model identification and developed SPAIR-Swin using high-entropy image patches.,
2022 Aug,"Started my MTech in AI at IIT Ropar",Began my graduate studies in artificial intelligence and research in source camera forensics with Dr. Puneet Goyal.,
2022 Feb,Qualified GATE CSE,Secured All India Rank 405 in GATE 2022.,
2017 Aug,"Started my BTech in CSE at UEM Jaipur",Graduated as the university gold medalist after maintaining the highest CGPA across eight semesters.
